name,genome_filename,protein_filename
phylodb_1310 Nostoc_azollae_0708,,phylodb_1.076_taxsplit.ff/phylodb_1310.fa
phylodb_4867 Rehmannia_glutinosa_phytoplasma,,phylodb_1.076_taxsplit.ff/phylodb_4867.fa
phylodb_7682 Abaca_bunchy_top_virus,,phylodb_1.076_taxsplit.ff/phylodb_7682.fa
phylodb_6282 Abalone_shriveling_syndrome-associated_virus,,phylodb_1.076_taxsplit.ff/phylodb_6282.fa
phylodb_6110 Abelson_murine_leukemia_virus,,phylodb_1.076_taxsplit.ff/phylodb_6110.fa
phylodb_2437 Abiotrophia_defectiva_ATCC_49176,,phylodb_1.076_taxsplit.ff/phylodb_2437.fa
phylodb_7352 Abutilon_Brazil_virus,,phylodb_1.076_taxsplit.ff/phylodb_7352.fa
phylodb_7353 Abutilon_mosaic_Bolivia_virus,,phylodb_1.076_taxsplit.ff/phylodb_7353.fa
phylodb_7354 Abutilon_mosaic_virus,,phylodb_1.076_taxsplit.ff/phylodb_7354.fa
phylodb_5278 Acanthamoeba_castellanii,,phylodb_1.076_taxsplit.ff/phylodb_5278.fa
phylodb_5279 Acanthamoeba_castellanii_str._Neff,,phylodb_1.076_taxsplit.ff/phylodb_5279.fa
phylodb_6940 Acanthamoeba_polyphaga_mimivirus,,phylodb_1.076_taxsplit.ff/phylodb_6940.fa
phylodb_7047 Acanthocystis_turfacea_Chlorella_virus_1,,phylodb_1.076_taxsplit.ff/phylodb_7047.fa
phylodb_5653 Acanthoeca-like-_Strain_10tr,,phylodb_1.076_taxsplit.ff/phylodb_5653.fa
phylodb_1195 Acaryochloris_CCMEE_5410,,phylodb_1.076_taxsplit.ff/phylodb_1195.fa
phylodb_1196 Acaryochloris_marina_MBIC11017,,phylodb_1.076_taxsplit.ff/phylodb_1196.fa
phylodb_3463 Accumulibacter_phosphatis_clade_IIA_str._UW-1,,phylodb_1.076_taxsplit.ff/phylodb_3463.fa
phylodb_2500 Acetivibrio_cellulolyticus_CD2,,phylodb_1.076_taxsplit.ff/phylodb_2500.fa
phylodb_3003 Acetobacter_aceti,,phylodb_1.076_taxsplit.ff/phylodb_3003.fa
phylodb_3004 Acetobacter_aceti_NBRC_14818,,phylodb_1.076_taxsplit.ff/phylodb_3004.fa
phylodb_3005 Acetobacter_pasteurianus,,phylodb_1.076_taxsplit.ff/phylodb_3005.fa
phylodb_3006 Acetobacter_pasteurianus_IFO_3283-01,,phylodb_1.076_taxsplit.ff/phylodb_3006.fa
phylodb_3007 Acetobacter_pasteurianus_IFO_3283-01-42C,,phylodb_1.076_taxsplit.ff/phylodb_3007.fa
phylodb_3008 Acetobacter_pasteurianus_IFO_3283-03,,phylodb_1.076_taxsplit.ff/phylodb_3008.fa
phylodb_3009 Acetobacter_pasteurianus_IFO_3283-07,,phylodb_1.076_taxsplit.ff/phylodb_3009.fa
phylodb_3010 Acetobacter_pasteurianus_IFO_3283-12,,phylodb_1.076_taxsplit.ff/phylodb_3010.fa
phylodb_3011 Acetobacter_pasteurianus_IFO_3283-22,,phylodb_1.076_taxsplit.ff/phylodb_3011.fa
phylodb_3012 Acetobacter_pasteurianus_IFO_3283-26,,phylodb_1.076_taxsplit.ff/phylodb_3012.fa
phylodb_3013 Acetobacter_pasteurianus_IFO_3283-32,,phylodb_1.076_taxsplit.ff/phylodb_3013.fa
phylodb_3014 Acetobacter_pomorum_DM001,,phylodb_1.076_taxsplit.ff/phylodb_3014.fa
phylodb_3015 Acetobacter_tropicalis_NBRC_101654,,phylodb_1.076_taxsplit.ff/phylodb_3015.fa
phylodb_3016 Acetobacteraceae_bacterium_AT-5844,,phylodb_1.076_taxsplit.ff/phylodb_3016.fa
phylodb_2396 Acetobacterium_woodii_DSM_1030,,phylodb_1.076_taxsplit.ff/phylodb_2396.fa
phylodb_2579 Acetohalobium_arabaticum_DSM_5501,,phylodb_1.076_taxsplit.ff/phylodb_2579.fa
